,Type,Duration(us),Name
621,Conv2DBackpropFilter,141.882,Conv2DBackpropFilter
622,ReluGrad,8.44,
623,BNTrainingGrad,204.78300000000002,BNTrainingGrad
624,Conv2DBackpropInput,307.347,Conv2DBackpropInput
625,Conv2DBackpropFilter,99.18100000000001,Conv2DBackpropFilter
626,Add,9.56,
627,ReluGrad,13.16,
628,BNTrainingGrad,695.614,BNTrainingGrad
629,Conv2DBackpropInput,285.486,Conv2DBackpropInput
630,Conv2DBackpropFilter,124.382,Conv2DBackpropFilter
631,ReluGrad,9.42,
632,BNTrainingGrad,204.184,BNTrainingGrad
633,Conv2DBackpropInput,463.528,Conv2DBackpropInput
634,Conv2DBackpropFilter,143.84199999999998,Conv2DBackpropFilter
635,ReluGrad,8.68,
636,BNTrainingGrad,204.284,BNTrainingGrad
637,Conv2DBackpropInput,305.966,Conv2DBackpropInput
638,Conv2DBackpropFilter,98.06099999999999,Conv2DBackpropFilter
639,Add,12.42,
640,ReluGrad,14.06,
641,BNTrainingGrad,695.254,BNTrainingGrad
642,Conv2DBackpropInput,286.50699999999995,Conv2DBackpropInput
643,Conv2DBackpropFilter,122.922,Conv2DBackpropFilter
644,ReluGrad,8.58,
645,BNTrainingGrad,203.78300000000002,BNTrainingGrad
646,Conv2DBackpropInput,462.089,Conv2DBackpropInput
647,Conv2DBackpropFilter,143.98199999999997,Conv2DBackpropFilter
648,ReluGrad,8.52,
649,BNTrainingGrad,204.964,BNTrainingGrad
650,Conv2DBackpropInput,308.96500000000003,Conv2DBackpropInput
651,Conv2DBackpropFilter,104.481,Conv2DBackpropFilter
652,Add,9.46,
653,ReluGrad,13.84,
654,BNTrainingGrad,694.674,BNTrainingGrad
655,Conv2DBackpropInput,288.927,Conv2DBackpropInput
656,Conv2DBackpropFilter,125.742,Conv2DBackpropFilter
657,ReluGrad,8.58,
658,BNTrainingGrad,204.524,BNTrainingGrad
659,Conv2DBackpropInput,462.911,Conv2DBackpropInput
660,Conv2DBackpropFilter,142.88199999999998,Conv2DBackpropFilter
661,ReluGrad,8.5,
662,BNTrainingGrad,204.983,BNTrainingGrad
663,Conv2DBackpropInput,306.96500000000003,Conv2DBackpropInput
664,Conv2DBackpropFilter,97.021,Conv2DBackpropFilter
665,Add,9.56,
666,ReluGrad,13.7,
667,BNTrainingGrad,695.014,BNTrainingGrad
668,Conv2DBackpropInput,286.385,Conv2DBackpropInput
669,Conv2DBackpropFilter,125.80199999999999,Conv2DBackpropFilter
670,ReluGrad,8.66,
671,BNTrainingGrad,204.60399999999998,BNTrainingGrad
672,Conv2DBackpropInput,463.24800000000005,Conv2DBackpropInput
673,Conv2DBackpropFilter,141.843,Conv2DBackpropFilter
674,ReluGrad,8.42,
675,BNTrainingGrad,204.60399999999998,BNTrainingGrad
676,Conv2DBackpropInput,305.406,Conv2DBackpropInput
677,Conv2DBackpropFilter,99.14099999999999,Conv2DBackpropFilter
678,Add,9.48,
679,ReluGrad,13.96,
680,BNTrainingGrad,695.414,BNTrainingGrad
681,Conv2DBackpropInput,288.00600000000003,Conv2DBackpropInput
682,Conv2DBackpropFilter,124.822,Conv2DBackpropFilter
