ID,Type,Duration(ms)
377,BNTraining_Forward,0.579971
378,Add,0.010039999999999999
379,Relu,0.00792
380,Conv_Forward,0.169344
381,BNTraining_Forward,0.14344200000000001
383,Conv_Forward,0.25778500000000004
384,BNTraining_Forward,0.14192200000000002
386,Conv_Forward,0.163624
387,BNTraining_Forward,0.580851
388,Add,0.009720000000000001
389,Relu,0.007940000000000001
390,Conv_Forward,0.169564
391,BNTraining_Forward,0.14240300000000003
393,Conv_Forward,0.258866
394,BNTraining_Forward,0.142382
396,Conv_Forward,0.163323
397,BNTraining_Forward,0.579891
398,Add,0.00962
399,Relu,0.00774
400,Conv_Forward,0.17002400000000004
401,BNTraining_Forward,0.141902
403,Conv_Forward,0.25830400000000003
404,BNTraining_Forward,0.14178200000000002
406,Conv_Forward,0.163643
407,BNTraining_Forward,0.580431
408,Add,0.009699999999999999
409,Relu,0.0078
410,Conv_Forward,0.16962300000000002
411,BNTraining_Forward,0.148023
413,Conv_Forward,0.255547
414,BNTraining_Forward,0.141983
416,Conv_Forward,0.164002
417,BNTraining_Forward,0.580532
418,Add,0.00968
419,Relu,0.0077599999999999995
420,Conv_Forward,0.17034400000000002
421,BNTraining_Forward,0.145623
423,Conv_Forward,0.254405
424,BNTraining_Forward,0.142043
426,Conv_Forward,0.164364
427,BNTraining_Forward,0.5806110000000001
428,Add,0.00968
429,Relu,0.007679999999999999
430,Conv_Forward,0.169524
431,BNTraining_Forward,0.142382
433,Conv_Forward,0.258245
434,BNTraining_Forward,0.142282
436,Conv_Forward,0.163263
437,BNTraining_Forward,0.5797910000000001
438,Add,0.009640000000000001
439,Relu,0.0077800000000000005
440,Conv_Forward,0.168164
441,BNTraining_Forward,0.142482
443,Conv_Forward,0.257824
444,BNTraining_Forward,0.143422
446,Conv_Forward,0.16492400000000002
447,BNTraining_Forward,0.5804320000000001
448,Add,0.009640000000000001
449,Relu,0.00762
450,Conv_Forward,0.168744
451,BNTraining_Forward,0.14256200000000002
453,Conv_Forward,0.257364
454,BNTraining_Forward,0.142443
456,Conv_Forward,0.164363
457,BNTraining_Forward,0.581251
458,Add,0.00968
459,Relu,0.0077800000000000005
460,Conv_Forward,0.169562
461,BNTraining_Forward,0.14324199999999998
463,Conv_Forward,0.255465
464,BNTraining_Forward,0.141843
466,Conv_Forward,0.16522299999999998
467,BNTraining_Forward,0.580252
468,Add,0.0096
469,Relu,0.00784
470,Conv_Forward,0.16890400000000003
471,BNTraining_Forward,0.142182
473,Conv_Forward,0.255485
474,BNTraining_Forward,0.147822
476,Conv_Forward,0.165923
477,BNTraining_Forward,0.580411
478,Add,0.00958
479,Relu,0.0079
480,Conv_Forward,0.250684
481,BNTraining_Forward,0.34612699999999996
483,Conv_Forward,0.8312759999999999
484,BNTraining_Forward,0.196243
486,Conv_Forward,0.34546699999999997
487,BNTraining_Forward,0.192503
488,Conv_Forward,0.6827730000000001
489,BNTraining_Forward,0.20076399999999997
490,Add,0.0091
491,Relu,0.00746
492,Conv_Forward,0.32312599999999997
493,BNTraining_Forward,0.19138299999999997
495,Conv_Forward,0.800036
496,BNTraining_Forward,0.197803
498,Conv_Forward,0.339446
499,BNTraining_Forward,0.19644399999999998
500,Add,0.008539999999999999
501,Relu,0.00758
502,Conv_Forward,0.322826
503,BNTraining_Forward,0.194044
505,Conv_Forward,0.7955760000000001
506,BNTraining_Forward,0.19670300000000002
508,Conv_Forward,0.33508599999999994
509,BNTraining_Forward,0.19426300000000002
510,Add,0.00914
511,Relu,0.00756
512,ReduceMean,0.01166
513,MatMulV2,0.00818
514,MakeLoss,0.07306
515,MatMulV2,0.02652
516,MatMulV2,0.0344
517,ReduceSum,0.02318
518,Fill,0.00708
519,Mul,0.009
520,ReluGrad,0.01174
521,A_BNTrainingUpdateGrad,0.364827
522,A_BNTrainingReduceGrad,0.01192
