tensor_id,size_B,birth_kid,death_kid,hidden_interval_num,inactive_time
1376,1769472,225,461,1,85708.5
1377,4096,225,461,1,85708.5
1385,1769472,457,505,1,10239.8
1386,1769472,457,490,1,7149.86
1387,1769472,457,465,1,2077.9
1389,7077888,227,456,5,715.954
1390,1769472,228,454,1,84460.1
1394,1769472,229,452,1,83727.8
1400,1769472,229,454,1,84296.6
1401,4096,229,454,1,84296.6
1409,327680,231,449,1,83093.7
1413,327680,232,447,2,3205.03
1419,327680,232,449,1,82952.7
1420,4096,232,449,1,82952.7
1428,1769472,234,444,1,81560.4
1431,7077888,445,457,1,1793.42
1432,1769472,235,442,1,80761.5
1438,1769472,235,444,1,81286.7
1439,4096,235,444,1,81286.7
1447,1769472,237,439,1,79905.1
1451,1769472,238,437,1,79221.9
1457,1769472,238,439,1,79644.5
1458,4096,238,439,1,79644.5
1466,1769472,240,434,1,78400.5
1470,1769472,241,432,1,77577.4
1476,1769472,241,434,1,78218.0
1477,4096,241,434,1,78218.0
1485,196608,243,429,1,77080.7
1489,196608,244,427,2,1038.32
1495,196608,244,429,1,76929.6
1496,4096,244,429,1,76929.6
1505,7077888,425,457,1,5626.77
1506,327680,424,447,1,5639.91
1507,196608,424,427,1,1806.56
1509,1310720,247,423,6,157.802
1510,327680,248,421,1,72764.5
1514,327680,249,419,2,5223.27
1520,327680,249,421,1,72618.4
1521,4096,249,421,1,72618.4
1529,393216,251,416,1,71051.6
1532,1310720,417,424,1,1092.64
1533,393216,252,414,4,220.664
1539,393216,252,416,1,70896.7
1540,4096,252,416,1,70896.7
1548,393216,254,410,1,68780.9
1552,393216,255,408,2,394.047
1558,393216,255,410,1,68498.4
1559,4096,255,410,1,68498.4
1567,393216,257,405,1,67345.1
1570,393216,406,413,1,1465.87
1571,393216,258,403,1,67016.7
1577,393216,258,405,1,67046.5
1578,4096,258,405,1,67046.5
1586,393216,401,408,1,1062.18
1588,786432,260,279,1,3268.69
1589,458752,261,399,1,65672.6
1592,1310720,400,424,1,4718.8
1593,458752,262,397,1,52806.5
1599,458752,262,399,1,65493.7
1600,4096,262,399,1,65493.7
1608,393216,264,394,1,51444.0
1612,393216,265,392,4,137.464
1618,393216,265,394,1,51162.0
1619,4096,265,394,1,51162.0
1627,393216,267,388,1,50163.6
1631,393216,268,386,2,549.272
1637,393216,268,388,1,49883.4
1638,4096,268,388,1,49883.4
1646,393216,270,383,1,48726.3
1649,393216,384,391,1,890.557
1650,393216,271,381,1,48426.0
1656,393216,271,383,1,48444.4
1657,4096,271,383,1,48444.4
1665,393216,379,386,1,883.177
1667,786432,273,279,1,988.96
1668,1310720,274,378,1,46280.1
1669,1310720,378,424,1,21028.4
1670,196608,275,376,1,45952.9
1674,196608,276,374,1,45777.4
1680,196608,276,376,1,45801.5
1681,4096,276,376,1,45801.5
1689,327680,372,419,1,21580.5
1690,786432,372,402,1,17954.4
1691,786432,372,380,1,1644.71
1693,2097152,278,371,6,313.687
1694,327680,279,369,1,44376.7
1698,327680,280,367,2,6418.28
1704,327680,280,369,1,43866.4
1705,4096,280,369,1,43866.4
1713,393216,282,364,1,42162.3
1716,2097152,365,372,1,1273.79
1717,393216,283,362,4,271.984
1723,393216,283,364,1,41620.9
1724,4096,283,364,1,41620.9
1732,393216,285,358,1,40239.3
1736,393216,286,356,2,468.93
