,Type,Duration(ms)
305,AvgPool_Forward,0.7932400000000001
306,Conv_Forward,0.20711999999999997
307,BNTraining_Forward,0.07918
308,Relu,0.0083
309,ConcatD,0.16438
310,ReduceMean,0.05736
311,Dropout_Forward,0.012960000000000001
312,MatMulV2,0.03542
313,MakeLoss,0.07002000000000001
314,MatMulV2,0.03222
315,MatMulV2,0.03106
316,ReduceSum,0.01314
317,DropOutDoMask,0.00908
318,Fill,0.045520000000000005
319,Mul,0.054939999999999996
320,Slice,0.0095
321,ReluGrad,0.01852
322,A_BNTrainingUpdateGrad,0.07953999999999999
323,A_BNTrainingReduceGrad,0.06078
324,Conv2DBackpropInput,0.35618
325,Conv2DBackpropFilter,0.11962
326,AvgPool2d_Backward,1.3054400000000002
327,Slice,0.0296
328,ReluGrad,0.02844
329,A_BNTrainingUpdateGrad,0.06522
330,A_BNTrainingReduceGrad,0.107
331,Conv2DBackpropInput,0.27588
332,Conv2DBackpropFilter,0.13662
333,Slice,0.02126
334,ReluGrad,0.03066
335,A_BNTrainingUpdateGrad,0.06956
336,A_BNTrainingReduceGrad,0.10576
337,Conv2DBackpropInput,0.26568
338,Conv2DBackpropFilter,0.13686
339,Add,0.01316
340,ReluGrad,0.01868
341,A_BNTrainingUpdateGrad,0.07171999999999999
342,A_BNTrainingReduceGrad,0.1052
343,Conv2DBackpropInput,0.66164
344,Conv2DBackpropFilter,0.31817999999999996
345,ReluGrad,0.02034
346,A_BNTrainingUpdateGrad,0.07312
347,A_BNTrainingReduceGrad,0.11978
348,Conv2DBackpropInput,0.57636
349,Conv2DBackpropFilter,0.20725999999999997
350,Add,0.18862
351,Slice,0.02546
352,ReluGrad,0.02946
353,A_BNTrainingUpdateGrad,0.0683
354,A_BNTrainingReduceGrad,0.10790000000000001
355,Conv2DBackpropInput,0.27052000000000004
356,Conv2DBackpropFilter,0.13552
357,Slice,0.022019999999999998
358,ReluGrad,0.02776
359,A_BNTrainingUpdateGrad,0.0675
360,A_BNTrainingReduceGrad,0.10532
361,Conv2DBackpropInput,0.26503999999999994
362,Conv2DBackpropFilter,0.13796
363,Add,0.01314
364,ReluGrad,0.01878
365,A_BNTrainingUpdateGrad,0.06642
366,A_BNTrainingReduceGrad,0.10565999999999999
367,Conv2DBackpropInput,0.5214399999999999
368,Conv2DBackpropFilter,0.1766
369,Add,0.18875999999999998
370,Slice,0.0219
371,ReluGrad,0.027579999999999997
372,A_BNTrainingUpdateGrad,0.05818000000000001
373,A_BNTrainingReduceGrad,0.08924
374,Conv2DBackpropInput,0.47382
375,Conv2DBackpropFilter,0.19094
376,Add,0.18954
377,Slice,0.0115
378,ReluGrad,0.01816
379,A_BNTrainingUpdateGrad,0.0777
380,A_BNTrainingReduceGrad,0.060899999999999996
381,Conv2DBackpropInput,0.21980000000000002
382,Conv2DBackpropFilter,0.07937999999999999
383,AvgPool2d_Backward,0.81906
384,Slice,0.0322
385,ReluGrad,0.032920000000000005
386,A_BNTrainingUpdateGrad,0.06667999999999999
387,A_BNTrainingReduceGrad,0.10690000000000001
388,Conv2DBackpropInput,0.2725
389,Conv2DBackpropFilter,0.13644
390,Slice,0.02392
391,ReluGrad,0.029079999999999998
392,A_BNTrainingUpdateGrad,0.07246
393,A_BNTrainingReduceGrad,0.10574
394,Conv2DBackpropInput,0.26528
395,Conv2DBackpropFilter,0.14245999999999998
396,Add,0.013380000000000001
397,ReluGrad,0.0185
398,A_BNTrainingUpdateGrad,0.07144
399,A_BNTrainingReduceGrad,0.10558
400,Conv2DBackpropInput,0.66116
401,Conv2DBackpropFilter,0.32198000000000004
402,ReluGrad,0.02106
403,A_BNTrainingUpdateGrad,0.07442
404,A_BNTrainingReduceGrad,0.11932
405,Conv2DBackpropInput,0.34508
406,Conv2DBackpropFilter,0.13756000000000002
407,Add,0.07122
408,Slice,0.03268
409,ReluGrad,0.03504
410,A_BNTrainingUpdateGrad,0.06786
411,A_BNTrainingReduceGrad,0.10679999999999999
412,Conv2DBackpropInput,0.26909999999999995
413,Conv2DBackpropFilter,0.13678
414,Slice,0.02076
415,ReluGrad,0.026920000000000003
416,A_BNTrainingUpdateGrad,0.06684
417,A_BNTrainingReduceGrad,0.10532
418,Conv2DBackpropInput,0.26688
419,Conv2DBackpropFilter,0.13738
420,Add,0.01316
421,ReluGrad,0.018539999999999997
422,A_BNTrainingUpdateGrad,0.06934
423,A_BNTrainingReduceGrad,0.10604000000000001
424,Conv2DBackpropInput,0.28652
425,Conv2DBackpropFilter,0.1159
426,Add,0.07138
427,Slice,0.0232
428,ReluGrad,0.030440000000000002
429,A_BNTrainingUpdateGrad,0.0617
430,A_BNTrainingReduceGrad,0.0889
431,Conv2DBackpropInput,0.26926
432,Conv2DBackpropFilter,0.10990000000000001
433,Add,0.0634
434,Slice,0.01756
435,MaxPoolGradWithArgmaxV1,1.7244799999999998
436,Slice,0.01738
437,ReluGrad,0.02048
438,A_BNTrainingUpdateGrad,0.07756
439,A_BNTrainingReduceGrad,0.0613
440,Conv2DBackpropInput,0.44506
441,Conv2DBackpropFilter,0.11574
442,ReluGrad,0.03114
443,A_BNTrainingUpdateGrad,0.17794
444,A_BNTrainingReduceGrad,0.12947999999999998
445,Conv2DBackpropInput,0.46355999999999997
446,Conv2DBackpropFilter,0.27736
447,ReluGrad,0.029079999999999998
448,A_BNTrainingUpdateGrad,0.17854000000000003
449,A_BNTrainingReduceGrad,0.13062
450,Conv2DBackpropInput,0.45222
451,Conv2DBackpropFilter,0.27240000000000003
452,ReluGrad,0.02984
453,A_BNTrainingUpdateGrad,0.17558
454,A_BNTrainingReduceGrad,0.1298
455,Conv2DBackpropInput,0.7007000000000001
456,Conv2DBackpropFilter,0.29419999999999996
457,Add,0.28918
458,Slice,0.02122
459,ReluGrad,0.02536
460,A_BNTrainingUpdateGrad,0.058699999999999995
461,A_BNTrainingReduceGrad,0.08884
